City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
154,nova sintra,14.8667,-24.7167,22.78,73,89,7.64,CV,1691632155
155,guangyuan,32.442,105.823,29.99,75,24,0.86,CN,1691632243
156,namibe,-15.1961,12.1522,15.93,90,20,3.83,AO,1691632243
157,rongelap,11.1635,166.8941,28.26,75,13,4.62,MH,1691632243
158,taoudenni,22.6783,-3.9836,36.59,27,30,5.46,ML,1691632243
159,mirpur sakro,24.5474,67.6277,27.76,79,100,8.94,PK,1691632244
160,santa cruz,-17.8,-63.1667,23.7,73,0,4.12,BO,1691632244
161,yellowknife,62.456,-114.3525,21.29,40,75,5.14,CA,1691632244
162,newman,37.3138,-121.0208,34.05,49,0,1.79,US,1691632140
163,georgetown,5.4112,100.3354,26.96,87,40,3.6,MY,1691631940
164,soufriere,13.8562,-61.0566,26.78,89,40,4.63,LC,1691632245
165,serhiyivka,46.0272,30.3768,20.7,62,17,6.32,UA,1691632245
166,mokhsogollokh,61.4681,128.9203,22.71,49,11,3.61,RU,1691632245
167,kaa-khem,51.6833,94.7333,19.56,67,84,2.09,RU,1691632245
168,torbat-e heydariyeh,35.274,59.2195,23.18,29,0,8.16,IR,1691632245
169,nepanagar,21.4667,76.4,24.8,83,25,2.61,IN,1691632246
170,huarmey,-10.0681,-78.1522,19.52,83,22,4.22,PE,1691632082
171,malvan,16.0667,73.4667,26.44,81,80,0.71,IN,1691632226
172,piscu,45.5,27.7333,16.99,67,100,2.09,RO,1691632246
173,nantucket,41.2835,-70.0995,24.45,71,0,5.14,US,1691632214
174,westport,41.1415,-73.3579,26.16,65,0,2.57,US,1691632013
175,luderitz,-26.6481,15.1594,23.23,40,100,4.63,NA,1691632247
176,udachny,66.4167,112.4,18.03,48,88,7.34,RU,1691632247
177,college,64.8569,-147.8028,22.55,70,75,4.63,US,1691632145
178,maun,-19.9833,23.4167,14.98,44,0,6.17,BW,1691632248
179,oruro,-17.9833,-67.15,7.21,22,0,4.05,BO,1691632248
180,antsiranana,-12.2787,49.2917,19.75,85,0,2.16,MG,1691632248
181,zhumysker,49.3333,49.4,22.54,48,0,3.28,KZ,1691632248
182,gadzhiyevo,69.2551,33.3362,17.33,77,0,3.55,RU,1691632248
183,tisul',55.7611,88.3122,18.68,73,59,3.28,RU,1691632249
184,eket,4.6412,7.9209,23.64,92,99,2.01,NG,1691632249
185,le lavandou,43.137,6.366,20.28,85,0,1.54,FR,1691632249
186,sumenep,-7.0167,113.8667,27.52,59,23,6.51,ID,1691632250
187,ranau,5.9538,116.6641,28.86,54,77,0.41,MY,1691632193
188,hermanus,-34.4187,19.2345,12.67,75,0,3.9,ZA,1691632250
189,thayetmyo,19.3167,95.1833,24.64,95,100,3.39,MM,1691632250
190,kavaratti,10.5669,72.642,27.57,79,100,7.7,IN,1691632250
191,dohar,23.5883,90.1469,27.99,78,95,1.93,BD,1691632251
192,ancaster,43.2257,-79.9767,24.01,76,100,3.09,CA,1691632078
193,rio tuba,8.5061,117.4317,29.02,74,74,4.97,PH,1691632251
194,hangu,39.2489,117.7892,30.02,70,100,2.45,CN,1691632251
195,sao gabriel da cachoeira,-0.1303,-67.0892,24.0,88,57,0.67,BR,1691632252
196,chibougamau,49.9168,-74.3659,19.79,64,75,1.54,CA,1691632039
197,broken hill,-31.95,141.4333,14.69,44,2,5.12,AU,1691632252
198,tobelo,1.7284,128.0095,29.82,62,100,3.18,ID,1691632227
199,vorkuta,67.5,64.0,11.55,71,75,4.87,RU,1691632240
200,autazes,-3.5797,-59.1306,29.1,52,71,1.55,BR,1691632253
201,grand falls-windsor,48.9332,-55.6649,13.61,89,100,0.45,CA,1691632203
202,al jawf,29.5,38.75,28.28,27,0,3.38,SA,1691632253
203,parsons,37.3403,-95.2611,27.93,80,1,4.05,US,1691632253
204,ahvaz,31.3203,48.6693,32.97,40,10,2.06,IR,1691632253
205,iskateley,67.6803,53.1512,11.94,81,0,2.57,RU,1691632169
206,lakatoro,-16.0999,167.4164,22.67,63,100,6.49,VU,1691632254
207,dolores,-36.3132,-57.6792,10.88,94,65,3.3,AR,1691632254
208,nybro,56.7446,15.9071,12.36,90,100,4.24,SE,1691632254
209,san agustin acasaguastlan,14.95,-89.9667,24.52,93,11,1.33,GT,1691632255
210,lazaro cardenas,17.9583,-102.2,28.58,79,100,0.27,MX,1691632255
211,arno,60.1167,18.6333,14.32,84,100,7.31,SE,1691632255
212,pudozh,61.8099,36.5345,16.33,86,51,1.57,RU,1691632255
213,klyuchi,52.2667,79.1667,21.58,45,81,2.41,RU,1691632255
214,tayaman,13.2295,120.5726,29.0,76,84,2.99,PH,1691632256
215,sao geraldo do araguaia,-6.4006,-48.555,25.19,69,29,1.4,BR,1691632256
216,saint-philippe,-21.3585,55.7679,19.77,83,39,3.97,RE,1691632256
217,kerikeri,-35.2268,173.9474,16.06,76,21,0.89,NZ,1691632149
218,ha tinh,18.3333,105.9,30.7,62,66,2.82,VN,1691632256
219,kingman,35.1894,-114.053,35.7,22,0,6.69,US,1691632257
220,portland,45.5234,-122.6762,27.99,61,40,4.63,US,1691631745
221,twon-brass,4.3151,6.2418,25.34,84,99,5.81,NG,1691632257
222,al ain city,24.1917,55.7606,35.79,32,9,5.66,AE,1691632257
223,sheksna,59.21,38.5107,17.98,95,100,1.4,RU,1691632257
224,harlingen,26.1906,-97.6961,32.05,80,0,9.77,US,1691632258
225,manismata,-2.4667,111.0333,28.5,64,65,2.36,ID,1691632258
226,mandalgarh,25.2,75.1,24.64,83,100,5.16,IN,1691632258
227,ta`u,-14.2336,-169.5144,27.19,80,29,5.34,AS,1691632258
228,woolgoolga,-30.1106,153.2007,21.93,40,8,4.08,AU,1691632259
229,nar'yan-mar,67.6713,53.087,12.0,81,0,2.6,RU,1691632149
230,port alfred,-33.5906,26.891,14.54,90,0,1.34,ZA,1691632259
231,malango,-2.9627,119.9001,25.39,67,89,1.4,ID,1691632259
232,acapulco de juarez,16.8634,-99.8901,29.9,79,100,2.06,MX,1691632111
233,kenai,60.5544,-151.2583,15.08,92,100,2.06,US,1691632229
234,puerto colombia,10.9878,-74.9547,25.05,84,100,5.86,CO,1691632260
235,colares,38.7992,-9.4469,21.29,86,3,7.15,PT,1691632184
236,mikhaylovsk,45.1283,42.0256,22.12,68,0,4.02,RU,1691632260
237,kiama,-34.6833,150.8667,21.25,44,61,6.71,AU,1691632260
238,cozumel,20.5083,-86.9458,31.08,86,2,2.24,MX,1691632013
239,wenchang,30.904,118.4887,30.21,69,92,2.04,CN,1691632261
240,nyurba,63.2842,118.3319,24.3,47,22,4.57,RU,1691632261
241,nuuk,64.1835,-51.7216,4.34,100,100,6.17,GL,1691632261
242,wafangdian,39.6183,122.0081,27.92,52,0,8.63,CN,1691632261
243,cockburn town,21.4612,-71.1419,28.71,78,80,7.33,TC,1691632262
244,tamanrasset,22.785,5.5228,27.95,28,73,4.12,DZ,1691632262
245,kisesa,-3.0833,34.15,17.72,61,5,3.73,TZ,1691632262
246,castillos,-34.1667,-53.8333,14.25,93,100,5.8,UY,1691632263
247,ciudad insurgentes,25.2625,-111.7753,28.34,63,27,7.66,MX,1691632263
248,tommot,58.9564,126.2925,24.19,64,25,1.07,RU,1691632263
249,bamboo flat,11.7,92.7167,29.05,84,40,3.6,IN,1691632265
250,puerto armuelles,8.2833,-82.8667,27.99,91,100,1.34,PA,1691632265
251,krasnyy kut,50.95,46.9667,21.22,49,0,2.96,RU,1691632265
252,selfoss,63.9331,-20.9971,11.14,75,100,2.55,IS,1691632045
253,i-n-salah,27.1935,2.4607,32.66,15,0,4.52,DZ,1691632266
254,palapye,-22.546,27.1251,11.98,60,27,3.66,BW,1691632266
255,kayangel,8.0823,134.7173,27.51,80,59,7.24,PW,1691632214
256,tsiombe,-25.3,45.4833,18.14,92,14,3.72,MG,1691632266
257,imbituba,-28.24,-48.6703,18.81,96,100,6.38,BR,1691632267
258,khanty-mansiysk,61.0042,69.0019,12.06,76,0,2.0,RU,1691632266
259,bambari,5.768,20.6757,21.45,99,100,1.34,CF,1691632267
260,kharan,28.5833,65.4167,30.54,20,34,1.83,PK,1691632268
261,nemuro,43.3236,145.575,20.52,95,100,6.83,JP,1691632054
262,liman,48.9884,37.8023,17.45,69,3,4.13,UA,1691632268
263,port douglas,-16.4833,145.4667,22.69,71,99,7.28,AU,1691632268
264,rabo de peixe,37.8,-25.5833,22.73,100,75,4.63,PT,1691632268
265,kodiak,57.79,-152.4072,13.73,82,100,2.06,US,1691632269
266,hammerfest,70.6634,23.6821,21.25,68,0,1.03,NO,1691631993
267,santa rosa de viterbo,-21.4728,-47.3631,19.0,58,0,1.22,BR,1691632269
268,peace river,56.2501,-117.286,17.17,100,100,2.57,CA,1691632195
269,santa rosa,14.3122,121.1114,32.27,76,72,4.13,PH,1691632115
270,rosetta,31.4044,30.4164,25.53,76,0,5.89,EG,1691632270
271,n'zeto,-7.2312,12.8666,20.41,92,36,2.74,AO,1691632270
272,luwuk,-0.9516,122.7875,27.61,75,77,2.94,ID,1691632270
273,swakopmund,-22.6833,14.5333,12.77,91,75,3.13,NA,1691632271
274,kingston,17.997,-76.7936,30.53,85,20,5.66,JM,1691632080
275,alaghsas,17.0187,8.0168,28.74,51,100,4.79,NE,1691632213
276,tamiahua,21.2667,-97.45,28.5,85,0,6.5,MX,1691632271
277,rawson,-43.3002,-65.1023,15.75,38,88,8.62,AR,1691632271
278,tumpat,6.1978,102.171,27.99,83,20,1.54,MY,1691632272
279,marsa alam,25.0757,34.8918,31.08,45,0,2.86,EG,1691632122
280,bonanza,14.0289,-84.591,24.66,93,100,0.73,NI,1691632272
281,magistral'nyy,56.1725,107.4458,17.16,98,100,1.23,RU,1691632272
282,dauphin,51.1494,-100.0502,17.08,67,0,3.09,CA,1691632164
283,lompoc,34.6391,-120.4579,24.08,82,100,2.57,US,1691632273
284,eyl,7.9803,49.8164,24.89,71,93,9.58,SO,1691632273
285,acipayam,37.4239,29.3494,19.97,75,0,0.7,TR,1691632273
286,piti village,13.4626,144.6933,28.49,89,75,3.6,GU,1691632273
287,gonzalez,30.5816,-87.2914,30.05,84,1,3.58,US,1691632117
288,waitara,-38.925,174.25,7.78,71,100,8.0,NZ,1691632274
289,mana,5.6592,-53.7767,25.68,89,12,5.1,GF,1691632172
290,santo anastacio,-21.8383,-51.6103,19.2,34,0,2.76,BR,1691632274
291,dakhla,23.6848,-15.958,20.47,92,21,9.2,EH,1691632196
292,berdigestyakh,62.0989,126.6992,23.07,43,2,4.53,RU,1691632275
293,baruun-urt,46.6806,113.2792,23.68,47,87,2.28,MN,1691632275
294,nikolayevsk-on-amure,53.1406,140.73,22.26,47,42,2.46,RU,1691632275
295,muroto-misakicho,33.2833,134.15,27.26,90,33,9.54,JP,1691632275
296,praia da vitoria,38.7333,-27.0667,22.14,94,75,2.57,PT,1691632159
297,mar del plata,-38.0023,-57.5575,12.83,94,75,3.6,AR,1691631903
298,mooroopna,-36.4,145.35,13.23,63,17,6.19,AU,1691632276
299,afaahiti,-17.75,-149.2833,27.93,71,100,6.68,PF,1691632276
300,anacortes,48.5126,-122.6127,21.08,75,100,6.69,US,1691632277
301,st. john's,47.5649,-52.7093,12.93,94,100,8.23,CA,1691632067
302,yerofey pavlovich,53.9667,121.9667,23.98,45,21,3.04,RU,1691632068
303,niquero,20.0431,-77.5828,25.68,77,100,2.48,CU,1691632277
304,lauro de freitas,-12.8944,-38.3272,26.01,69,75,4.63,BR,1691632058
305,pisco,-13.7,-76.2167,19.03,82,0,7.2,PE,1691632249
306,rantauprapat,2.1,99.8333,25.3,94,78,0.21,ID,1691632278
307,santa rita,-7.1139,-34.9781,24.37,83,20,4.12,BR,1691632278
308,price,39.5994,-110.8107,29.59,14,0,7.2,US,1691632278
309,sao martinho,39.5144,-9.1311,20.63,79,8,0.45,PT,1691632279
310,maceio,-9.6658,-35.7353,22.69,94,100,2.57,BR,1691632279
311,oume,35.7839,139.2431,32.23,56,20,4.63,JP,1691632279
312,kruisfontein,-34.0033,24.7314,10.49,86,0,2.72,ZA,1691632095
313,tweed heads,-28.1817,153.547,22.88,52,0,6.17,AU,1691632217
314,hanceville,34.0607,-86.7675,22.89,94,100,1.65,US,1691632280
315,corinto,37.9407,22.9573,23.27,62,0,0.55,GR,1691632280
316,baiti,13.745,-14.7482,25.2,80,100,3.74,SN,1691632280
317,buhusi,46.7167,26.7,15.72,64,100,0.49,RO,1691632280
318,aur,8.1499,171.1687,28.08,76,50,5.35,MH,1691632281
319,regina,50.4501,-104.6178,15.58,84,75,5.14,CA,1691631841
320,bahar,34.9072,48.4414,17.09,48,0,1.03,IR,1691632281
321,arraial do cabo,-22.9661,-42.0278,20.86,85,41,8.07,BR,1691632281
322,howrah,22.5892,88.3103,29.0,84,75,1.54,IN,1691632282
323,byron bay,-28.65,153.6167,22.06,44,0,3.68,AU,1691632252
324,salekhard,66.53,66.6019,13.36,65,17,3.31,RU,1691632282
325,brigantine,39.4101,-74.3646,26.11,73,0,3.6,US,1691632282
326,tralee,52.2704,-9.7026,15.49,91,20,3.91,IE,1691632183
327,kailua-kona,19.6406,-155.9956,30.98,73,40,6.17,US,1691632283
328,sorel-tracy,46.0334,-73.1159,22.94,73,53,1.04,CA,1691632283
329,klaksvik,62.2266,-6.589,7.51,78,24,3.0,FO,1691632283
330,aracena,37.894,-6.5612,20.62,41,0,1.79,ES,1691632207
331,bel ombre,-4.6167,55.4167,24.91,88,20,2.06,SC,1691632283
332,china,25.7,-99.2333,31.76,49,2,13.86,MX,1691631834
333,labrador city,52.9463,-66.9114,11.95,94,100,2.57,CA,1691632210
334,mil'kovo,55.6078,37.7956,15.73,73,84,2.9,RU,1691632284
335,shakhtersk,48.0625,38.5167,21.51,60,100,6.77,UA,1691632284
336,san patricio,28.017,-97.5169,31.97,77,0,8.79,US,1691632187
337,menziken,47.25,8.1833,15.44,89,20,0.0,CH,1691632285
338,salalah,17.0151,54.0924,26.05,94,100,4.12,OM,1691632216
339,la'ie,21.6477,-157.9253,31.98,67,7,8.84,US,1691632071
340,brajarajnagar,21.8167,83.9167,26.35,73,23,3.44,IN,1691632285
341,mangrol,21.1167,70.1167,27.06,85,100,7.83,IN,1691632286
342,riviere-du-loup,47.8304,-69.5342,15.15,94,96,0.51,CA,1691632013
343,puerto baquerizo moreno,-0.9,-89.6,23.68,80,64,3.05,EC,1691632287
344,tokoroa,-38.2333,175.8667,9.41,90,100,4.47,NZ,1691632287
345,luanco,43.6152,-5.7934,21.71,85,70,1.19,ES,1691632288
346,mount pearl,47.5166,-52.7813,12.75,92,100,8.23,CA,1691632288
347,igarka,67.4667,86.5833,15.75,85,100,0.98,RU,1691632288
348,xilin hot,43.9667,116.0333,25.2,49,81,3.52,CN,1691632289
349,aitape,-3.1374,142.3475,29.73,68,77,2.55,PG,1691632289
350,kulhudhuffushi,6.6221,73.07,27.88,78,100,7.05,MV,1691632289
351,guigang,23.0964,109.6092,28.94,78,98,1.7,CN,1691632289
352,qiqihar,47.3408,123.9672,20.76,83,95,4.63,CN,1691632289
353,port-vila,-17.7338,168.3219,24.78,53,40,5.66,VU,1691632290
354,bodo,67.28,14.405,16.36,64,0,5.66,NO,1691632290
355,colchani,-20.3,-66.9333,3.8,33,0,3.89,BO,1691632290
356,whitehorse,60.7161,-135.0538,21.72,37,75,2.06,CA,1691632290
357,rivne,50.6231,26.2274,16.71,66,100,1.73,UA,1691632291
358,sarikei,2.1167,111.5167,25.05,66,84,1.1,MY,1691632291
359,kirakira,-10.4544,161.9205,25.9,84,98,4.27,SB,1691632140
360,as sulayyil,20.4607,45.5779,29.14,13,2,0.85,SA,1691632291
361,askoy,60.4092,5.226,11.08,50,75,1.54,NO,1691632291
362,esperanza,19.5847,-70.9849,25.32,89,93,1.34,DO,1691632292
363,tamana,32.9167,130.5667,29.13,88,100,8.34,JP,1691632292
364,ivdel',60.6911,60.4206,14.46,92,100,1.78,RU,1691632292
